#fileformat:exonsbank
1	ENSG00000223972	DDX11L1	1	11869	12227	DDX11L1-002	processed_transcript	pseudogene	ENSE00002234944
1	ENSG00000223972	DDX11L1	2	12613	12721	DDX11L1-002	processed_transcript	pseudogene	ENSE00003582793
1	ENSG00000223972	DDX11L1	3	13221	14409	DDX11L1-002	processed_transcript	pseudogene	ENSE00002312635
1	ENSG00000223972	DDX11L1	1	11872	12227	DDX11L1-201	unprocessed_pseudogene	pseudogene	ENSE00002234632
1	ENSG00000223972	DDX11L1	2	12613	12721	DDX11L1-201	unprocessed_pseudogene	pseudogene	ENSE00003608237
1	ENSG00000223972	DDX11L1	3	13225	14412	DDX11L1-201	unprocessed_pseudogene	pseudogene	ENSE00002306041
1	ENSG00000223972	DDX11L1	1	11874	12227	DDX11L1-202	unprocessed_pseudogene	pseudogene	ENSE00002269724
1	ENSG00000223972	DDX11L1	2	12595	12721	DDX11L1-202	unprocessed_pseudogene	pseudogene	ENSE00002270865
1	ENSG00000223972	DDX11L1	3	13403	13655	DDX11L1-202	unprocessed_pseudogene	pseudogene	ENSE00002216795
1	ENSG00000223972	DDX11L1	4	13661	14409	DDX11L1-202	unprocessed_pseudogene	pseudogene	ENSE00002303382
1	ENSG00000223972	DDX11L1	1	12010	12057	DDX11L1-001	transcribed_unprocessed_pseudogene	pseudogene	ENSE00001948541
1	ENSG00000223972	DDX11L1	2	12179	12227	DDX11L1-001	transcribed_unprocessed_pseudogene	pseudogene	ENSE00001671638
1	ENSG00000223972	DDX11L1	3	12613	12697	DDX11L1-001	transcribed_unprocessed_pseudogene	pseudogene	ENSE00001758273
1	ENSG00000223972	DDX11L1	4	12975	13052	DDX11L1-001	transcribed_unprocessed_pseudogene	pseudogene	ENSE00001799933
1	ENSG00000223972	DDX11L1	5	13221	13374	DDX11L1-001	transcribed_unprocessed_pseudogene	pseudogene	ENSE00001746346
1	ENSG00000223972	DDX11L1	6	13453	13670	DDX11L1-001	transcribed_unprocessed_pseudogene	pseudogene	ENSE00001863096
1	ENSG00000227232	WASH7P	1	29321	29370	WASH7P-202	unprocessed_pseudogene	pseudogene	ENSE00001718035
1	ENSG00000227232	WASH7P	2	24738	24891	WASH7P-202	unprocessed_pseudogene	pseudogene	ENSE00003624050
1	ENSG00000227232	WASH7P	3	18268	18379	WASH7P-202	unprocessed_pseudogene	pseudogene	ENSE00001642865
1	ENSG00000227232	WASH7P	4	17915	18061	WASH7P-202	unprocessed_pseudogene	pseudogene	ENSE00003638984
3	ENSG00000180376	CCDC66	3	56593597	56593622	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSE00003695813
3	ENSG00000180376	CCDC66	4	56597712	56598153	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSE00003557192
3	ENSG00000180376	CCDC66	4	56597712	56598153	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSP00000420192
3	ENSG00000180376	CCDC66	4	56597712	56597714	CCDC66-015	nonsense_mediated_decay	protein_coding	.
3	ENSG00000180376	CCDC66	5	56600622	56600787	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSE00003698820
3	ENSG00000180376	CCDC66	5	56600622	56600787	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSP00000420192
3	ENSG00000180376	CCDC66	6	56600978	56601081	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSE00003699241
3	ENSG00000180376	CCDC66	6	56600978	56601081	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSP00000420192
3	ENSG00000180376	CCDC66	7	56605209	56605330	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSE00003558258
3	ENSG00000180376	CCDC66	7	56605209	56605330	CCDC66-015	nonsense_mediated_decay	protein_coding	ENSP00000420192
9	ENSG00000107282	APBA1	10	72064500	72064712	APBA1-001	protein_coding	protein_coding	ENSE00000982743
9	ENSG00000107282	APBA1	10	72064500	72064712	APBA1-001	protein_coding	protein_coding	ENSP00000265381
9	ENSG00000107282	APBA1	11	72055912	72056031	APBA1-001	protein_coding	protein_coding	ENSE00000982744
9	ENSG00000107282	APBA1	11	72055912	72056031	APBA1-001	protein_coding	protein_coding	ENSP00000265381
9	ENSG00000107282	APBA1	12	72047452	72047592	APBA1-001	protein_coding	protein_coding	ENSE00000982745
9	ENSG00000107282	APBA1	12	72047452	72047592	APBA1-001	protein_coding	protein_coding	ENSP00000265381
9	ENSG00000107282	APBA1	13	72042446	72046314	APBA1-001	protein_coding	protein_coding	ENSE00001228156
9	ENSG00000107282	APBA1	13	72046246	72046314	APBA1-001	protein_coding	protein_coding	ENSP00000265381
9	ENSG00000107282	APBA1	13	72046243	72046245	APBA1-001	protein_coding	protein_coding	.
9	ENSG00000107282	APBA1	1	72082739	72082864	APBA1-002	processed_transcript	protein_coding	ENSE00001931663
